"source_id","lat_dec","long_dec"
"572043","44.5215","-67.8531"
"571277","44.5354","-67.8808"
"573335","44.4295","-67.8842"
"563961","44.4551","-67.8781"
"573331","44.4442","-67.8875"
"578287","44.3981","-67.8656"
"565811","44.4067","-67.8686"
"573236","44.3673","-67.8653"
"573239","44.3642","-67.8636"
"581858","44.3840","-67.8828"
"573237","44.3945","-67.8994"
"568640","44.3923","-67.8928"
"567232","44.3734","-67.8731"
"581902","44.3404","-67.8522"
"581913","44.3323","-67.8106"
"581789","44.3715","-67.8042"
"577091","44.3856","-67.7850"
"568854","44.3951","-67.8328"
"579991","44.3490","-68.3442"
"578853","44.3507","-68.2441"
"575000","44.5734","-68.1468"
"581834","43.9687","-68.1278"
"581710","43.9590","-68.1320"
"581833","44.3642","-67.9347"
"576380","44.3765","-67.9283"
"565450","44.4417","-67.9181"
"576780","44.4065","-67.9194"
"575349","44.4606","-67.9153"
"569874","44.4045","-67.9300"
"578748","44.4181","-67.9122"
"576241","44.4237","-67.9319"
"578745","44.4387","-67.9311"
"563617","44.4504","-67.8989"
"573425","44.4870","-67.9128"
"565463","44.4704","-67.9283"
"566891","44.4712","-67.9231"
"567007","44.4290","-67.9678"
"565472","44.4431","-67.9467"
"574761","44.3987","-67.9439"
"565722","44.4042","-67.9367"
"561538","44.4026","-67.9444"
"574759","44.4009","-67.9461"
"575348","44.3973","-67.9553"
"565739","44.4020","-67.9372"
"578264","44.3990","-67.9528"
"573558","44.4487","-67.9819"
"565199","44.4684","-67.9689"
"569008","44.4826","-67.9728"
"574425","44.4731","-67.9786"
"564362","44.3976","-67.9708"
"561577","44.3948","-67.9608"
"572860","44.3909","-67.9619"
"578256","44.3904","-67.9669"
"564360","44.4009","-67.9750"
"573835","44.3926","-68.0056"
"564470","44.3851","-67.9822"
"574827","44.4095","-68.0067"
"569692","44.3681","-67.9769"
"562132","44.3679","-67.9867"
"572710","44.3673","-67.9950"
"572737","44.3723","-68.0000"
"574997","44.3317","-68.0325"
"566579","44.4142","-68.1850"
"563337","44.3513","-68.2265"
"574996","44.3507","-68.0529"
